Time,GMSL
1880,-159.6
1881,-147.7
1882,-167.3
1883,-161.1
1884,-143.3
1885,-148.4
1886,-140.8
1887,-147.3
1888,-149.0
1889,-147.0
1890,-144.2
1891,-143.8
1892,-145.8
1893,-140.7
1894,-154.5
1895,-141.0
1896,-138.0
1897,-127.1
1898,-133.4
1899,-131.9
1900,-130.5
1901,-136.2
1902,-131.7
1903,-116.2
1904,-130.2
1905,-132.0
1906,-122.3
1907,-126.4
1908,-127.3
1909,-129.0
1910,-121.8
1911,-120.1
1912,-119.9
1913,-117.2
1914,-119.7
1915,-113.6
1916,-111.7
1917,-110.1
1918,-112.1
1919,-107.0
1920,-103.2
1921,-105.1
1922,-111.3
1923,-107.5
1924,-116.8
1925,-115.3
1926,-104.5
1927,-106.3
1928,-106.0
1929,-106.0
1930,-98.2
1931,-101.9
1932,-101.5
1933,-99.0
1934,-103.3
1935,-95.3
1936,-102.9
1937,-96.6
1938,-101.3
1939,-77.6
1940,-99.1
1941,-78.3
1942,-78.4
1943,-82.3
1944,-94.9
1945,-82.8
1946,-68.5
1947,-74.5
1948,-67.7
1949,-73.3
1950,-68.5
1951,-59.4
1952,-62.2
1953,-52.4
1954,-64.4
1955,-66.3
1956,-64.9
1957,-45.7
1958,-49.8
1959,-48.0
1960,-44.1
1961,-37.8
1962,-46.6
1963,-47.0
1964,-46.8
1965,-43.5
1966,-47.1
1967,-44.0
1968,-50.9
1969,-41.1
1970,-42.6
1971,-38.5
1972,-19.1
1973,-34.4
1974,-20.4
1975,-23.4
1976,-21.6
1977,-25.5
1978,-19.9
1979,-24.7
1980,-19.2
1981,-3.9
1982,-15.8
1983,1.8
1984,0.6
1985,-13.7
1986,-13.3
1987,-8.2
1988,-6.4
1989,-2.7
1990,-0.2
1991,1.0
1992,0.3
1993,0.6
1994,9.0
1995,7.9
1996,13.0
1997,17.6
1998,9.5
1999,23.2
2000,27.1
2001,27.1
2002,29.4
2003,40.0
2004,40.4
2005,40.7
2006,40.3
2007,50.5
2008,59.3
2009,62.7
2010,61.0
2011,72.1
2012,78.1
2013,71.2
