Country,Country code,State,State code,State type,Year,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Total,Total emissions,ktCO2,62.89,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Total,Total emissions,ktCO2,89.69,26.8,42.61
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Total,Total emissions,ktCO2,68.19,-21.5,-23.97
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Total,Total emissions,ktCO2,125.49,57.3,84.03
India,IND,Andaman and Nicobar,AN,Union territory,2023,Power sector emissions,Total,Total emissions,ktCO2,234.18,108.69,86.61
India,IND,Andhra Pradesh,AP,state,2019,Power sector emissions,Total,Total emissions,ktCO2,48429.72,,
India,IND,Andhra Pradesh,AP,state,2020,Power sector emissions,Total,Total emissions,ktCO2,38549.88,-9879.84,-20.4
India,IND,Andhra Pradesh,AP,state,2021,Power sector emissions,Total,Total emissions,ktCO2,46032.85,7482.97,19.41
India,IND,Andhra Pradesh,AP,state,2022,Power sector emissions,Total,Total emissions,ktCO2,49845.18,3812.33,8.28
India,IND,Andhra Pradesh,AP,state,2023,Power sector emissions,Total,Total emissions,ktCO2,57238.23,7393.05,14.83
India,IND,Arunachal Pradesh,AR,state,2019,Power sector emissions,Total,Total emissions,ktCO2,39.63,,
India,IND,Arunachal Pradesh,AR,state,2020,Power sector emissions,Total,Total emissions,ktCO2,76.86,37.23,93.94
India,IND,Arunachal Pradesh,AR,state,2021,Power sector emissions,Total,Total emissions,ktCO2,97.58,20.72,26.96
India,IND,Arunachal Pradesh,AR,state,2022,Power sector emissions,Total,Total emissions,ktCO2,117.16,19.58,20.07
India,IND,Arunachal Pradesh,AR,state,2023,Power sector emissions,Total,Total emissions,ktCO2,103.06,-14.1,-12.03
India,IND,Assam,AS,state,2019,Power sector emissions,Total,Total emissions,ktCO2,4424.69,,
India,IND,Assam,AS,state,2020,Power sector emissions,Total,Total emissions,ktCO2,3853.22,-571.47,-12.92
India,IND,Assam,AS,state,2021,Power sector emissions,Total,Total emissions,ktCO2,4883.91,1030.69,26.75
India,IND,Assam,AS,state,2022,Power sector emissions,Total,Total emissions,ktCO2,5737.26,853.35,17.47
India,IND,Assam,AS,state,2023,Power sector emissions,Total,Total emissions,ktCO2,5904.31,167.05,2.91
India,IND,Bihar,BR,state,2019,Power sector emissions,Total,Total emissions,ktCO2,28764.23,,
India,IND,Bihar,BR,state,2020,Power sector emissions,Total,Total emissions,ktCO2,26651.68,-2112.55,-7.34
India,IND,Bihar,BR,state,2021,Power sector emissions,Total,Total emissions,ktCO2,33796.45,7144.77,26.81
India,IND,Bihar,BR,state,2022,Power sector emissions,Total,Total emissions,ktCO2,44356.04,10559.59,31.24
