name,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",AFG,2,2,2,2,2,2,2,4,6,6,8,16,20,26,26,32,34,40,44,48,50,54,64,80,84,104,128,142,148,156,164,172,192,202,208,218,226,236,246,260,274,282,294
Albania,ALB,0,0,0,0,0,4,4,4,4,6,6,6,8,8,8,12,12,14,14,14,14,14,18,18,22,26,26,30,30,32,34,34,36,36,36,42,44,48,50,50,50,52,52
Algeria,DZA,0,4,6,6,8,10,10,10,12,12,12,12,14,18,24,24,26,28,28,30,40,42,48,58,62,68,70,84,86,90,90,92,96,96,96,100,100,102,104,106,106,112,114
American Samoa,ASM,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Angola,AGO,0,2,2,2,2,4,4,4,4,8,8,8,8,8,8,8,8,10,10,10,20,26,28,32,40,42,44,48,50,56,62,70,72,74,74,80,88,92,94,100,106,110,110
Anguilla,AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4
Antigua and Barbuda,ATG,0,0,0,2,2,2,2,2,2,4,6,6,6,6,6,8,8,8,10,14,14,14,14,14,14,14,14,14,16,16,18,18,18,18,18,18,18,20,20,20,20,20,20
Argentina,ARG,4,4,6,10,12,16,20,26,28,28,30,30,34,42,44,52,52,54,58,60,76,90,96,104,110,112,114,120,122,132,134,134,140,144,152,160,164,172,182,190,194,198,200
"Armenia, Rep. of",ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,12,12,12,14,14,16,18,20,20,20
Australia,AUS,0,4,10,12,14,20,28,28,34,40,48,54,60,68,84,94,112,120,132,142,152,170,180,200,212,220,236,240,250,262,278,284,288,294,302,318,324,330,336,342,348,362,372
Austria,AUT,2,4,8,10,14,16,16,16,16,16,26,30,30,32,34,36,38,40,40,44,48,48,54,56,56,62,64,68,70,78,78,78,80,82,82,82,84,88,88,92,92,94,96
"Azerbaijan, Rep. of",AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,8,8,12,12,12,14,14,14,14,14,14,16,18,18,20,20,20,20,20,20,20,20,20,20,20
Azores Island,AZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Bahamas, The",BHS,0,0,0,0,0,0,0,0,2,2,4,4,6,6,6,8,8,8,8,10,10,12,12,12,18,20,20,22,26,26,26,28,30,32,32,34,36,38,38,40,40,40,40
Bangladesh,BGD,4,10,14,30,32,42,54,60,72,84,100,112,122,144,162,180,194,208,222,244,266,280,292,306,320,344,358,368,378,390,402,412,422,428,436,450,456,466,474,486,490,494,498
Barbados,BRB,2,2,2,2,4,4,4,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,10,10,12,12,12,12,12,12,16,16,16,16,16,16,16,18,18,18,18,20,20
"Belarus, Rep. of",BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,6,6,8,10,10,10,10,10,12,12,14,14,14,14,14,16,18,20,20,20,22,24,24,24,24,24
Belgium,BEL,0,0,0,0,2,6,6,6,6,6,18,18,18,22,24,26,26,26,30,34,34,34,44,48,48,54,56,58,62,62,68,72,74,78,80,82,86,86,90,96,100,106,108
Belize,BLZ,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,6,6,6,8,8,10,14,14,14,14,18,18,20,24,24,26,26,26,26,26,28,30,30,30,30,32,32,34
Benin,BEN,2,2,4,4,6,8,8,8,10,10,10,12,12,12,14,16,18,20,22,24,24,24,24,24,24,24,24,26,28,34,36,38,40,44,44,44,44,44,44,44,46,48,50
